# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.7.0-beta2

clan.<none>, boolean, 00
clan.b03197e4-1f1a-316b-8873-ed0870397060, boolean, 00
clan.b03197e4-1f1a-316b-8873-ed0870397060.owenedclan, boolean, 00
clan.b03197e4-1f1a-316b-8873-ed0870397060.ownedclan, boolean, 00
clan.b03197e4-1f1a-316b-8873-ed0870397060.rank, string, 80054F776E6572
"clan.carpentier familly", boolean, 00
"clan.carpentier familly.owner", offlineplayer, 810475756964800455554944820C6C6561737453696742697473048BEA288BDED8977C0B6D6F73745369674269747304CEF7AED8249D35FF
clan.cef7aed8-249d-35ff-8bea-288bded8977c, boolean, 00
clan.cef7aed8-249d-35ff-8bea-288bded8977c.owenedclan, boolean, 00
clan.d, boolean, 01
clan.dd, boolean, 00
clan.f4b2566d-66e9-3c4c-b12e-5e76ea891dce, string, 800A4F627369204275696C64
clan.f4b2566d-66e9-3c4c-b12e-5e76ea891dce.owenedclan, string, 800A4F627369204275696C64
clan.list::2, string, 800A4F627369204275696C64
"clan.obsi build", boolean, 01
"clan.obsi build.players::1", offlineplayer, 810475756964800455554944820C6C656173745369674269747304B12E5E76EA891DCE0B6D6F73745369674269747304F4B2566D66E93C4C
clan.overlor, boolean, 00
clan.overlord, boolean, 01
clan.overlord.players::1, offlineplayer, 810475756964800455554944820C6C6561737453696742697473048873ED08703970600B6D6F73745369674269747304B03197E41F1A316B
clan.pipi, boolean, 00
clan.pipi.owner, offlineplayer, 810475756964800455554944820C6C6561737453696742697473048873ED08703970600B6D6F73745369674269747304B03197E41F1A316B
clan.ptn, boolean, 00
clan.ptn.owner, offlineplayer, 810475756964800455554944820C6C6561737453696742697473048873ED08703970600B6D6F73745369674269747304B03197E41F1A316B
clan.ranks::1, string, 80054F776E6572
clan.ranks::2, string, 8008436F2D4F776E6572
clan.ranks::3, string, 80084F66666963696572
clan.ranks::4, string, 80064D656D626572
clan.requested.blaackknight, boolean, 00
clan.requested.mae21170, boolean, 00
clan.skullborn, boolean, 00
clan.skullborn.owner, offlineplayer, 810475756964800455554944820C6C6561737453696742697473048873ED08703970600B6D6F73745369674269747304B03197E41F1A316B
clan.skullor, boolean, 01
clan.skullor.owneruuid, string, 802462303331393765342D316631612D333136622D383837332D656430383730333937303630
"clan.spetnaz force", boolean, 00
"clan.spetnaz force.owner", offlineplayer, 810475756964800455554944820C6C6561737453696742697473048BEA288BDED8977C0B6D6F73745369674269747304CEF7AED8249D35FF
"clan.taureau noir", boolean, 00
"clan.taureau noir.owner", offlineplayer, 810475756964800455554944820C6C6561737453696742697473048BEA288BDED8977C0B6D6F73745369674269747304CEF7AED8249D35FF
config.explosion, boolean, 00
config.spawn.protection, long, 0000000000000000
config.spawn.protection.x, long, 0000000000000000
config.spawn.protection.y, long, 0000000000000000
config.spawn.protection.z, long, 0000000000000000
config.spawn.safe_zone, long, 0000000000000000
config.spawn.safe_zone.x, long, 0000000000000000
config.spawn.safe_zone.y, long, 0000000000000000
config.spawn.safe_zone.z, long, 0000000000000000
constructions.blaackknight, boolean, 01
coordinate.blaackknight, boolean, 00
coordinate.mae21170, boolean, 00
coordinate.nezzore, boolean, 01
drawer.item.blacklist::1, string, 800E656E6368616E74656420626F6F6B
drawer.item.blacklist::2, string, 8015696D70756C736520636F6D6D616E6420626C6F636B
drawer.item.blacklist::3, string, 8013636861696E20636F6D6D616E6420626C6F636B
drawer.item.blacklist::4, string, 8017726570656174696E6720636F6D6D616E6420626C6F636B
drawer.lore.blacklist::1, string, 8006526172697479
drawer.lore.blacklist::2, string, 80054D696E6572
drawer.lore.blacklist::3, string, 80094175746F536D656C74
drawer.lore.blacklist::4, string, 800A4564697420537469636B
editsign.blaackknight.blockloc, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809406A3000000000000179094050E00000000000017A09C065B000000000000570697463680880000000037961770842B40000
editsign.blaackknight.blockloc::1, string, 8005776F726C64
editsign.blaackknight.condition, boolean, 01
editsign.blaackknight.line, long, 0000000000000001
editsign.blaackknight.location, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809406A3000000000000179094050E00000000000017A09C065B000000000000570697463680880000000037961770842B40000
editsign.block.blaackknight, itemtype, 8603616C6C0F00057479706573800941727261794C697374810676616C7565733080064F626A6563748001800B4E65774974656D44617461880B626C6F636B56616C756573800E4E6577426C6F636B56616C7565738209697344656661756C740F0004646174612080366D696E6563726166743A6F616B5F77616C6C5F7369676E5B666163696E673D776573742C77617465726C6F676765643D66616C73655D076973416C6961730F0005706C61696E0F00046D6574618022436F6E66696775726174696F6E53657269616C697A61626C655F4974656D4D657461810576616C756520804E76616C75653A0A20203D3D3A204974656D4D6574610A20206D6574612D747970653A2054494C455F454E544954590A2020626C6F636B4D6174657269616C3A204F414B5F57414C4C5F5349474E0A096974656D466C61677303000000000A6973416E797468696E670F000269640300000489086974656D466F726D0F0006616D6F756E7403FFFFFFFF046974656D000A676C6F62616C4D6574610005626C6F636B00
editsign.line1.amiral_17, boolean, 00
editsign.line1.blaackknight, boolean, 00
editsign.line1.cuiiiere, boolean, 00
editsign.line1.kiflo787, boolean, 00
editsign.line1.mae21170, boolean, 00
editsign.line1.nezzore, boolean, 00
editsign.line2.amiral_17, boolean, 00
editsign.line2.blaackknight, boolean, 00
editsign.line2.cuiiiere, boolean, 00
editsign.line2.kiflo787, boolean, 00
editsign.line2.mae21170, boolean, 00
editsign.line2.nezzore, boolean, 00
editsign.line3.amiral_17, boolean, 00
editsign.line3.blaackknight, boolean, 00
editsign.line3.cuiiiere, boolean, 00
editsign.line3.kiflo787, boolean, 00
editsign.line3.mae21170, boolean, 00
editsign.line3.nezzore, boolean, 00
editsign.line4.amiral_17, boolean, 00
editsign.line4.blaackknight, boolean, 00
editsign.line4.cuiiiere, boolean, 00
editsign.line4.kiflo787, boolean, 00
editsign.line4.mae21170, boolean, 00
editsign.line4.nezzore, boolean, 00
foods.blaackknight, boolean, 01
foods.cuiiiere, boolean, 01
foods.list::1, string, 801EC2A736426167756574746520C2A736E2A487C2A77220C2A7373130E282A3
foods.list::2, string, 801E43616B6520C2A736E2A487C2A77220C2A737392E3939392E393939E282A3
foods.list::3, string, 801EC2A736426167756574746520C2A736E2A487C2A77220C2A7373130E282A3
foods.list::4, string, 801E43616B6520C2A736E2A487C2A77220C2A737392E3939392E393939E282A3
foods.list::5, string, 801EC2A736426167756574746520C2A736E2A487C2A77220C2A7373130E282A3
